Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
2019,UA,154 min,"Drama, Music, Romance",8.0,65.0,31886,5566534.0
2013,UA,144 min,"Crime, Drama, Thriller",8.0,79.0,51069,1079369.0
2013,R,96 min,Drama,8.0,82.0,81770,1010414.0
2014,A,150 min,"Action, Crime, Thriller",8.0,71.0,114316,2625803.0
2014,UA,114 min,"Biography, Drama, Thriller",8.0,73.0,685201,91125683.0
2014,UA,121 min,"Action, Adventure, Comedy",8.0,76.0,1043455,333176600.0
2017,UA,164 min,"Action, Drama, Mystery",8.0,81.0,461823,92054159.0
2013,A,126 min,"Drama, Romance, Sci-Fi",8.0,90.0,540772,25568251.0
2018,UA,134 min,"Biography, Drama, Music",8.0,49.0,450349,216428042.0
2015,A,156 min,"Action, Adventure, Drama",8.0,76.0,705589,183637894.0
2012,UA,103 min,"Drama, Romance",8.0,67.0,462252,17738570.0
2010,Unknown,115 min,"Action, Crime, Drama",8.0,71.0,79200,100119.0
2010,U,118 min,"Biography, Drama, History",8.0,88.0,639603,138797449.0
2011,UA,146 min,Drama,8.0,62.0,428521,169708112.0
2016,R,108 min,"Action, Adventure, Comedy",8.0,65.0,902669,363070709.0
2009,TV-PG,119 min,"Drama, Mystery",8.0,87.0,45803,106662.0
2009,A,144 min,"Drama, Romance",8.0,79.0,28749,10950.0
2008,R,106 min,"Action, Biography, Drama",8.0,59.0,211427,23530892.0
2010,UA,165 min,Drama,8.0,50.0,98575,4018695.0
2009,Unknown,128 min,"Action, Drama, Thriller",8.0,79.0,31838,23530892.0
2008,UA,120 min,"Drama, Romance",8.0,84.0,798882,141319928.0
2010,A,108 min,"Drama, Thriller",8.0,79.0,699673,106954678.0
2007,R,115 min,"Action, Crime, Drama",8.0,33.0,98097,8060.0
2012,UA,143 min,"Action, Adventure, Sci-Fi",8.0,69.0,1260806,623279547.0
2007,PG-13,96 min,"Animation, Biography, Drama",8.0,90.0,88656,4445756.0
2013,R,117 min,"Biography, Drama",8.0,80.0,441614,27298285.0
2006,U,117 min,"Biography, Drama",8.0,64.0,448930,163566459.0
2006,A,143 min,"Adventure, Drama, Thriller",8.0,64.0,499439,57366262.0
2007,UA,115 min,"Action, Mystery, Thriller",8.0,85.0,604694,227471070.0
2004,U,88 min,"Crime, Drama, Romance",8.0,72.0,50610,238507.0
2005,A,124 min,"Crime, Thriller",8.0,74.0,738512,74103820.0
2007,PG-13,112 min,"Biography, Drama",8.0,92.0,103284,5990075.0
2004,Unknown,127 min,"Adventure, Comedy, Sci-Fi",8.0,79.0,56960,23530892.0
2007,U,111 min,"Animation, Adventure, Comedy",8.0,96.0,641645,206445654.0
2006,PG-13,144 min,"Action, Adventure, Thriller",8.0,80.0,582239,167445960.0
2004,A,137 min,"Action, Crime, Thriller",8.0,83.0,683900,66208183.0
2003,Unknown,110 min,Drama,8.0,82.0,42399,502028.0
2003,R,103 min,"Drama, Romance",8.0,85.0,77520,2380788.0
2014,U,126 min,"Biography, Drama",8.0,74.0,77554,2086345.0
2005,UA,144 min,"Biography, Drama, History",8.0,69.0,176151,61649911.0
2003,U,186 min,"Comedy, Drama, Musical",8.0,54.0,63460,1787378.0
2002,UA,101 min,"Action, Crime, Drama",8.0,75.0,117857,169659.0
2003,UA,143 min,"Action, Adventure, Fantasy",8.0,63.0,1015122,305413918.0
2003,U,125 min,"Adventure, Drama, Fantasy",8.0,58.0,415218,66257002.0
2004,U,115 min,"Animation, Action, Adventure",8.0,90.0,657047,261441092.0
2001,Unknown,137 min,"Comedy, Drama, Romance",8.0,79.0,45403,23530892.0
2003,R,178 min,"Crime, Drama",8.0,60.0,137963,1530386.0
2001,Unknown,110 min,"Comedy, Drama",8.0,79.0,33592,23530892.0
2001,R,113 min,"Drama, Mystery, Sci-Fi",8.0,88.0,740086,1480006.0
1999,R,188 min,Drama,8.0,77.0,289742,22455976.0
2000,U,140 min,"Crime, Drama, Musical",8.0,61.0,102285,4184036.0
1999,U,112 min,"Biography, Drama",8.0,86.0,82002,6203044.0
1997,A,81 min,"Animation, Crime, Mystery",8.0,79.0,58192,776665.0
1998,R,105 min,Drama,8.0,82.0,78341,1647780.0
1998,R,110 min,Drama,8.0,80.0,36419,5595428.0
1999,PG,86 min,"Animation, Action, Adventure",8.0,85.0,172083,23159305.0
1997,Unknown,87 min,"Action, Crime, Comedy",8.0,79.0,27721,3296.0
1996,R,135 min,Drama,8.0,84.0,86838,24475416.0
1996,U,136 min,"Comedy, Drama",8.0,91.0,37564,13417292.0
1995,A,129 min,"Mystery, Sci-Fi, Thriller",8.0,74.0,578443,57141459.0
1995,UA,83 min,"Animation, Action, Crime",8.0,76.0,129231,515905.0
1993,U,76 min,"Animation, Family, Fantasy",8.0,82.0,300208,75082668.0
1993,U,101 min,"Comedy, Fantasy, Romance",8.0,72.0,577991,70906973.0
1993,R,180 min,"Crime, Drama",8.0,47.0,28825,4496583.0
1992,UA,156 min,Drama,8.0,59.0,263918,63895607.0
1992,U,90 min,"Animation, Adventure, Comedy",8.0,86.0,373845,217350219.0
1991,UA,189 min,"Drama, History, Thriller",8.0,72.0,142110,70405498.0
1991,G,84 min,"Animation, Family, Fantasy",8.0,95.0,417178,218967620.0
1990,U,181 min,"Adventure, Drama, Western",8.0,72.0,240266,184208848.0
1989,R,120 min,"Comedy, Drama",8.0,93.0,89429,27545445.0
1988,U,133 min,Drama,8.0,65.0,473064,178800000.0
1988,UA,124 min,"Animation, Action, Sci-Fi",8.0,79.0,164918,553171.0
1987,U,98 min,"Adventure, Family, Fantasy",8.0,77.0,393899,30857814.0
1987,U,128 min,"Drama, Fantasy, Romance",8.0,79.0,64722,3333969.0
1987,U,104 min,"Drama, War",8.0,88.0,31163,4542825.0
1986,U,125 min,"Animation, Adventure, Drama",8.0,78.0,150140,23530892.0
1984,UA,107 min,"Action, Sci-Fi",8.0,84.0,799795,38400000.0
1982,U,191 min,"Biography, Drama, History",8.0,79.0,217664,52767889.0
1980,U,180 min,"Drama, History, War",8.0,84.0,32195,23530892.0
1979,PG,130 min,"Comedy, Drama",8.0,83.0,65625,30177511.0
1977,A,93 min,"Comedy, Romance",8.0,92.0,251823,39200000.0
1975,A,124 min,"Adventure, Thriller",8.0,87.0,543388,260000000.0
1975,U,125 min,"Biography, Crime, Drama",8.0,86.0,235652,50000000.0
1974,A,106 min,Comedy,8.0,80.0,143359,86300000.0
1973,R,151 min,"Biography, Crime, Drama",8.0,58.0,121627,53267000.0
1973,A,122 min,Horror,8.0,81.0,362393,232906145.0
1972,PG,138 min,"Mystery, Thriller",8.0,79.0,44748,4081254.0
1971,R,118 min,"Drama, Romance",8.0,93.0,42456,29133000.0
1971,G,181 min,"Drama, Family, Musical",8.0,67.0,39491,80500000.0
1970,UA,113 min,Drama,8.0,100.0,27067,541940.0
1969,PG,110 min,"Biography, Crime, Drama",8.0,66.0,201888,102308889.0
1968,A,137 min,"Drama, Horror",8.0,96.0,193674,23530892.0
1968,U,112 min,"Adventure, Sci-Fi",8.0,79.0,165167,33395426.0
1967,A,106 min,"Comedy, Drama, Romance",8.0,83.0,253676,104945305.0
1966,A,131 min,Drama,8.0,75.0,68926,23530892.0
1965,U,172 min,"Biography, Drama, Family",8.0,63.0,205425,163214286.0
1965,A,197 min,"Drama, Romance, War",8.0,69.0,69903,111722000.0
1964,A,99 min,"Action, Drama, Western",8.0,65.0,198219,14500000.0
1963,Unknown,138 min,Drama,8.0,91.0,108844,50690.0
1962,Unknown,80 min,Drama,8.0,79.0,28057,23530892.0
1961,A,134 min,"Drama, Sport",8.0,90.0,75067,8284000.0
1960,A,174 min,"Comedy, Drama",8.0,95.0,66621,19516000.0
1959,Passed,141 min,"Action, Drama, Western",8.0,93.0,56305,12535000.0
1959,Unknown,161 min,"Crime, Drama, Mystery",8.0,95.0,59847,11900000.0
1958,PG-13,95 min,"Crime, Drama, Film-Noir",8.0,99.0,98431,2237659.0
1958,A,108 min,Drama,8.0,84.0,45062,17570324.0
1957,Approved,96 min,"Drama, Film-Noir",8.0,100.0,28137,23530892.0
1956,Approved,84 min,"Crime, Drama, Film-Noir",8.0,91.0,81702,23530892.0
1955,Unknown,92 min,"Crime, Drama, Film-Noir",8.0,99.0,81980,654000.0
1954,Unknown,108 min,Drama,8.0,79.0,58314,23530892.0
1955,Unknown,117 min,"Crime, Drama, Horror",8.0,79.0,61503,23530892.0
1953,Unknown,120 min,"Comedy, Drama, War",8.0,84.0,51046,23530892.0
1953,Unknown,118 min,"Comedy, Romance",8.0,78.0,127256,23530892.0
1951,A,122 min,Drama,8.0,97.0,99182,8000000.0
1950,Unknown,94 min,"Drama, Film-Noir, Mystery",8.0,79.0,26784,23530892.0
1949,U,106 min,"Comedy, Crime",8.0,79.0,34485,23530892.0
1948,A,80 min,"Crime, Drama, Mystery",8.0,73.0,129783,23530892.0
1947,Unknown,97 min,"Crime, Drama, Film-Noir",8.0,79.0,32784,23530892.0
1945,U,86 min,"Drama, Romance",8.0,92.0,35601,23530892.0
1944,Passed,88 min,"Drama, Film-Noir, Mystery",8.0,79.0,42725,4360000.0
1946,Approved,170 min,"Drama, Romance, War",8.0,93.0,57259,23650000.0
1942,Unknown,118 min,"Comedy, Crime, Thriller",8.0,79.0,65101,23530892.0
1941,Unknown,100 min,"Film-Noir, Mystery",8.0,96.0,148928,2108060.0
1940,Passed,129 min,"Drama, History",8.0,96.0,85559,55000.0
1939,U,102 min,"Adventure, Family, Fantasy",8.0,92.0,371379,2076020.0
1939,Unknown,110 min,"Comedy, Drama",8.0,79.0,26725,23530892.0
1934,TV-PG,91 min,"Comedy, Crime, Mystery",8.0,86.0,26642,23530892.0
1930,U,152 min,"Drama, War",8.0,91.0,57318,3270000.0
1925,Unknown,75 min,"Drama, History, Thriller",8.0,97.0,53054,50970.0
2019,UA,130 min,"Comedy, Crime, Drama",7.9,82.0,454203,165359751.0
2020,UA,101 min,"Comedy, Drama, Romance",7.9,79.0,111478,23530892.0
2018,A,121 min,"Crime, Drama",7.9,93.0,62754,3313513.0
2019,U,137 min,"Comedy, Drama, Romance",7.9,94.0,246644,2000000.0
2017,UA,132 min,"Drama, Romance",7.9,93.0,212651,18095701.0
2016,UA,100 min,Drama,7.9,78.0,53818,258168.0
2018,U,101 min,"Animation, Adventure, Comedy",7.9,82.0,139114,32015231.0
2016,UA,101 min,"Adventure, Comedy, Drama",7.9,81.0,111483,5202582.0
2016,R,118 min,"Comedy, Drama",7.9,72.0,189400,5875006.0
2016,PG-13,106 min,"Comedy, Drama, Music",7.9,79.0,85109,3237118.0
2017,UA,130 min,"Action, Adventure, Comedy",7.9,74.0,587775,315058289.0
2014,A,117 min,"Crime, Drama, Thriller",7.9,76.0,466134,32381218.0
2019,UA,108 min,"Comedy, Drama, War",7.9,58.0,297918,349555.0
2016,UA,116 min,"Drama, Sci-Fi",7.9,81.0,594181,100546139.0
2015,U,138 min,"Action, Adventure, Sci-Fi",7.9,80.0,860823,936662225.0
2013,R,109 min,"Drama, Romance",7.9,94.0,141457,8114627.0
2014,UA,132 min,"Action, Adventure, Sci-Fi",7.9,75.0,659763,233921534.0
2011,Unknown,157 min,"Crime, Drama",7.9,82.0,41995,138730.0
2011,U,100 min,"Comedy, Drama, Romance",7.9,89.0,230624,44671682.0
2014,UA,113 min,"Action, Adventure, Sci-Fi",7.9,71.0,600004,100206256.0
2012,UA,127 min,"Drama, Romance",7.9,94.0,93090,6739492.0
2019,R,209 min,"Biography, Crime, Drama",7.9,94.0,324720,7000000.0
2009,A,155 min,"Crime, Drama",7.9,90.0,93560,2084637.0
2009,R,97 min,"Drama, Mystery, Sci-Fi",7.9,67.0,335152,5009677.0
2008,R,114 min,"Crime, Drama, Fantasy",7.9,82.0,205609,2122065.0
2009,A,112 min,"Action, Sci-Fi, Thriller",7.9,81.0,638202,115646235.0
2008,UA,109 min,"Drama, Sport",7.9,80.0,289415,26236603.0
2007,U,138 min,"Comedy, Drama, Romance",7.9,79.0,47720,410800.0
2014,A,165 min,Drama,7.9,100.0,335533,25379975.0
2007,Unknown,113 min,Drama,7.9,97.0,56625,1185783.0
2009,UA,127 min,"Action, Adventure, Sci-Fi",7.9,82.0,577336,257730019.0
2008,R,107 min,"Comedy, Crime, Drama",7.9,67.0,390334,7757130.0
2007,Unknown,87 min,"Drama, Fantasy, Mystery",7.9,79.0,174125,23530892.0
2006,UA,141 min,"Action, Adventure, Drama",7.9,89.0,154011,13756082.0
2006,R,117 min,"Adventure, Drama, Fantasy",7.9,64.0,107290,2280348.0
2012,U,127 min,"Adventure, Drama, Fantasy",7.9,79.0,580708,124987023.0
2009,PG,87 min,"Animation, Adventure, Comedy",7.9,83.0,199696,21002919.0
2005,Unknown,129 min,"Comedy, Drama",7.9,81.0,31476,23530892.0
2004,PG-13,97 min,"Drama, Music",7.9,56.0,57430,3635164.0
2008,UA,126 min,"Action, Adventure, Sci-Fi",7.9,79.0,939644,318412101.0
2004,UA,99 min,"Comedy, Horror",7.9,76.0,512249,13542874.0
2004,R,121 min,"Drama, Romance",7.9,78.0,51325,23530892.0
2003,A,138 min,"Crime, Drama, Mystery",7.9,84.0,419420,90135191.0
2004,U,142 min,"Adventure, Family, Fantasy",7.9,82.0,552493,249358727.0
2002,PG-13,120 min,"Action, Adventure, History",7.9,85.0,173999,53710019.0
2002,R,112 min,"Drama, Mystery, Romance",7.9,86.0,104691,9284265.0
2001,R,98 min,"Comedy, Drama, War",7.9,84.0,44618,1059830.0
2001,U,115 min,"Animation, Action, Crime",7.9,61.0,42897,1000045.0
2002,UA,119 min,"Action, Mystery, Thriller",7.9,68.0,508771,121661683.0
2000,R,114 min,"Crime, Drama, Thriller",7.9,80.0,49721,1221261.0
2006,A,109 min,"Adventure, Drama, Sci-Fi",7.9,84.0,465113,35552383.0
2000,A,122 min,"Adventure, Comedy, Drama",7.9,90.0,252586,32534850.0
2001,R,147 min,"Drama, Mystery, Thriller",7.9,85.0,322031,7220243.0
1999,U,92 min,"Animation, Adventure, Comedy",7.9,88.0,527512,245852179.0
1997,R,155 min,Drama,7.9,85.0,239473,26400640.0
1995,U,111 min,"Animation, Drama, Family",7.9,75.0,51943,23530892.0
1994,A,102 min,"Crime, Drama",7.9,77.0,31590,2201126.0
1993,R,119 min,"Crime, Drama, Romance",7.9,59.0,206918,12281500.0
1993,U,94 min,"Drama, Music, Mystery",7.9,85.0,89836,1324974.0
1993,A,94 min,"Animation, Action, Adventure",7.9,79.0,34529,23530892.0
1993,A,144 min,"Crime, Drama, Thriller",7.9,65.0,201000,36948322.0
1990,U,105 min,"Drama, Fantasy, Romance",7.9,74.0,447368,56362352.0
1989,U,103 min,"Biography, Drama",7.9,97.0,68076,14743391.0
1989,PG-13,104 min,"Comedy, Drama",7.9,77.0,54670,18254702.0
1987,A,119 min,"Crime, Drama, Thriller",7.9,79.0,281842,76270454.0
1986,PG-13,107 min,"Comedy, Drama",7.9,90.0,67176,40084041.0
1985,U,132 min,"Drama, Sci-Fi",7.9,84.0,187567,9929135.0
1984,R,82 min,"Comedy, Music",7.9,92.0,128812,188751.0
1983,U,93 min,"Comedy, Family",7.9,77.0,132947,20605209.0
1980,U,133 min,"Action, Adventure, Comedy",7.9,60.0,183182,57229890.0
1979,R,96 min,"Comedy, Drama, Romance",7.9,83.0,131436,45700000.0
1979,A,123 min,"Drama, Music, Musical",7.9,72.0,28223,37823676.0
1978,A,127 min,"Action, Adventure, Horror",7.9,71.0,111512,5100000.0
1976,U,138 min,"Biography, Drama, History",7.9,84.0,103031,70600000.0
1973,R,114 min,"Adventure, Drama, Fantasy",7.9,76.0,37183,61001.0
1973,R,123 min,"Comedy, Drama, Family",7.9,79.0,39897,23530892.0
1972,PG,102 min,Comedy,7.9,93.0,38737,198809.0
1972,Unknown,95 min,"Action, Adventure, Biography",7.9,79.0,52397,23530892.0
1971,PG,91 min,"Comedy, Drama, Romance",7.9,62.0,70826,23530892.0
1970,U,172 min,"Biography, Drama, War",7.9,91.0,93741,61700000.0
1969,A,145 min,"Action, Adventure, Western",7.9,97.0,77401,12064472.0
1968,Unknown,96 min,"Horror, Thriller",7.9,89.0,116557,89029.0
1968,PG,134 min,"Biography, Drama, History",7.9,79.0,29003,22276975.0
1967,U,110 min,"Crime, Drama, Mystery",7.9,75.0,67804,24379978.0
1963,U,113 min,"Comedy, Mystery, Romance",7.9,83.0,68689,13474588.0
1962,PG-13,126 min,"Drama, Thriller",7.9,94.0,71122,23530892.0
1960,A,197 min,"Adventure, Biography, Drama",7.9,87.0,124339,30000000.0
1960,U,144 min,"Drama, Mystery",7.9,79.0,26542,23530892.0
1959,Unknown,90 min,"Drama, Romance",7.9,79.0,28421,88300.0
1956,U,220 min,"Adventure, Drama",7.9,79.0,63560,93740000.0
1956,Passed,119 min,"Adventure, Drama, Western",7.9,94.0,80316,23530892.0
1955,U,118 min,Drama,7.9,72.0,40313,23530892.0
1952,PG,85 min,"Drama, Thriller, Western",7.9,89.0,97222,9450000.0
1951,A,101 min,"Crime, Film-Noir, Thriller",7.9,88.0,123341,7630000.0
1950,Approved,104 min,"Comedy, Drama, Fantasy",7.9,79.0,52573,23530892.0
1947,Unknown,96 min,"Comedy, Drama, Family",7.9,88.0,41625,2650000.0
1946,U,102 min,"Drama, Film-Noir, Romance",7.9,100.0,92306,10464000.0
1946,Passed,114 min,"Crime, Film-Noir, Mystery",7.9,79.0,78796,6540000.0
1945,Passed,101 min,"Drama, Film-Noir",7.9,79.0,33549,9460000.0
1940,Unknown,112 min,"Comedy, Romance",7.9,96.0,63550,23530892.0
1940,Passed,92 min,"Comedy, Drama, Romance",7.9,79.0,53667,296000.0
1938,PG,102 min,"Action, Adventure, Romance",7.9,97.0,47175,3981000.0
1935,Passed,96 min,"Comedy, Music, Musical",7.9,79.0,30580,2537520.0
1933,Passed,100 min,"Adventure, Horror, Sci-Fi",7.9,90.0,78991,10000000.0
1932,Unknown,64 min,"Drama, Horror",7.9,80.0,42117,23530892.0
1922,Unknown,94 min,"Fantasy, Horror",7.9,79.0,88794,23530892.0
2019,A,113 min,"Action, Comedy, Crime",7.8,51.0,237392,23530892.0
2018,UA,138 min,"Action, Drama, Thriller",7.8,79.0,25344,23530892.0
2019,R,120 min,"Drama, Music",7.8,81.0,27187,23530892.0
2016,UA,124 min,Drama,7.8,85.0,51240,2402067.0
2017,UA,106 min,"Action, Drama, History",7.8,94.0,555092,188373161.0
2016,Unknown,96 min,"Comedy, Drama",7.8,79.0,57168,23530892.0
2016,UA,127 min,"Biography, Drama, History",7.8,74.0,200876,169607287.0
2017,U,103 min,"Adventure, Comedy, Family",7.8,88.0,61594,40442052.0
2016,A,148 min,"Action, Crime, Drama",7.8,79.0,27175,23530892.0
2016,PG,101 min,"Animation, Action, Adventure",7.8,84.0,118035,48023088.0
2016,U,184 min,"Biography, Drama, Sport",7.8,79.0,40416,1782795.0
2016,UA,137 min,Drama,7.8,96.0,246963,47695120.0
2015,R,100 min,"Drama, History, War",7.8,75.0,35539,435266.0
2016,UA,133 min,"Action, Adventure, Sci-Fi",7.8,65.0,556608,532177324.0
2016,UA,147 min,"Action, Adventure, Sci-Fi",7.8,75.0,663649,408084349.0
2015,A,168 min,"Crime, Drama, Mystery",7.8,68.0,517059,54117416.0
2019,U,135 min,"Drama, Romance",7.8,91.0,143250,108101214.0
2017,UA,94 min,"Animation, Biography, Crime",7.8,62.0,50778,6735118.0
2014,R,119 min,"Biography, Comedy, Drama",7.8,79.0,51841,23530892.0
2013,PG-13,130 min,"Drama, Mystery",7.8,85.0,45002,1330596.0
2013,Unknown,141 min,Drama,7.8,86.0,81125,2852400.0
2013,U,104 min,"Drama, Romance",7.8,76.0,50523,4231500.0
2012,UA,126 min,"Comedy, Romance",7.8,79.0,39710,169209.0
2014,U,102 min,"Animation, Action, Adventure",7.8,74.0,410983,222527828.0
2013,R,123 min,"Comedy, Drama, Fantasy",7.8,55.0,303032,15322921.0
2012,U,134 min,"Comedy, Drama, Family",7.8,79.0,33618,1670773.0
2013,PG-13,126 min,"Animation, Biography, Drama",7.8,83.0,73690,5209580.0
2019,U,100 min,"Animation, Adventure, Comedy",7.8,84.0,203177,434038008.0
2013,R,131 min,"Crime, Drama, Mystery",7.8,49.0,108399,85433.0
2012,A,94 min,"Comedy, Drama, Romance",7.8,84.0,318789,45512466.0
2014,U,102 min,"Animation, Action, Adventure",7.8,76.0,305611,177002924.0
2015,A,130 min,"Biography, Comedy, Drama",7.8,81.0,362942,70259870.0
2010,Unknown,106 min,"Drama, Thriller",7.8,79.0,35713,23530892.0
2010,Unknown,144 min,"Action, Crime, Drama",7.8,67.0,111252,128392.0
2011,R,158 min,"Crime, Drama, Mystery",7.8,71.0,423010,102515793.0
2013,UA,134 min,"Adventure, Biography, Crime",7.8,82.0,421244,107100855.0
2010,R,119 min,"Action, Crime, Drama",7.8,79.0,62848,6460.0
2015,R,147 min,"Biography, Drama, History",7.8,72.0,179264,161197785.0
2009,R,129 min,"Crime, Drama, Mystery",7.8,79.0,52758,547292.0
2008,Unknown,125 min,"Action, Crime, Thriller",7.8,64.0,58468,23530892.0
2013,UA,161 min,"Adventure, Fantasy",7.8,66.0,601408,258366855.0
2009,UA,144 min,"Drama, History, Mystery",7.8,82.0,68715,2222647.0
2009,R,152 min,"Crime, Drama, Mystery",7.8,76.0,208994,10095170.0
2020,R,129 min,"Drama, History, Thriller",7.8,77.0,89896,23530892.0
2020,Unknown,117 min,"Comedy, Drama",7.8,81.0,33931,23530892.0
2010,UA,116 min,"Biography, Drama, Sport",7.8,79.0,340584,93617009.0
2008,A,90 min,"Action, Thriller",7.8,51.0,564791,145000989.0
2008,PG-13,94 min,"Drama, History, War",7.8,55.0,190748,9030581.0
2007,R,86 min,"Drama, Music, Romance",7.8,88.0,110656,9439923.0
2012,UA,169 min,"Adventure, Fantasy",7.8,58.0,757377,303003568.0
2007,Unknown,122 min,Drama,7.8,85.0,30827,741283.0
2007,R,123 min,"Drama, Mystery, Romance",7.8,85.0,251370,50927067.0
2011,A,100 min,"Crime, Drama",7.8,78.0,571571,35061555.0
2007,A,157 min,"Biography, Crime, Drama",7.8,76.0,392449,130164645.0
2009,UA,162 min,"Action, Adventure, Fantasy",7.8,83.0,1118998,760507625.0
2009,R,141 min,"Drama, Fantasy, Romance",7.8,63.0,216421,3600.0
2006,A,139 min,"Action, Adventure, Drama",7.8,68.0,291018,50866635.0
2006,UA,101 min,"Comedy, Drama",7.8,80.0,439856,59891098.0
2007,UA,121 min,"Action, Comedy, Mystery",7.8,81.0,463466,23637265.0
2008,UA,166 min,"Drama, Fantasy, Romance",7.8,70.0,589160,127509326.0
2004,U,192 min,"Drama, Family, Musical",7.8,67.0,49050,2921738.0
2005,R,94 min,"Comedy, Crime, Drama",7.8,51.0,45717,1305.0
2005,PG,129 min,"Drama, Romance",7.8,82.0,258924,38405088.0
2005,U,127 min,"Biography, Drama, Sport",7.8,68.0,51980,5128124.0
2003,UA,90 min,"Animation, Adventure, Comedy",7.8,73.0,31658,128985.0
2005,PG-13,119 min,"Action, Adventure, Sci-Fi",7.8,74.0,283310,25514517.0
2005,PG-13,136 min,"Biography, Drama, Music",7.8,72.0,234207,119519402.0
2003,Unknown,113 min,Drama,7.8,61.0,35682,15280.0
2004,A,123 min,"Drama, Romance",7.8,53.0,520284,81001787.0
2004,U,126 min,"Adventure, Biography, Drama",7.8,75.0,96703,16756372.0
2002,R,109 min,"Crime, Drama",7.8,82.0,42673,181655.0
2003,PG-13,80 min,"Animation, Comedy, Drama",7.8,91.0,50622,7002255.0
2000,Unknown,110 min,"Action, Drama, Thriller",7.8,58.0,26518,23530892.0
2002,PG-13,131 min,"Action, Adventure, Drama",7.8,61.0,129022,54234062.0
2001,R,99 min,"Animation, Drama, Fantasy",7.8,83.0,60684,2892011.0
2000,U,113 min,"Biography, Drama, Sport",7.8,48.0,198089,115654751.0
2000,UA,120 min,"Action, Adventure, Fantasy",7.8,94.0,253228,128078872.0
1999,R,101 min,Drama,7.8,87.0,89058,8264530.0
2000,UA,143 min,"Adventure, Drama, Romance",7.8,73.0,524235,233632142.0
1999,R,108 min,"Action, Crime, Thriller",7.8,44.0,227143,25812.0
1999,UA,157 min,"Biography, Drama, Thriller",7.8,84.0,159886,28965197.0
1999,PG,108 min,"Biography, Drama, Family",7.8,71.0,82855,32481825.0
2001,U,90 min,"Animation, Adventure, Comedy",7.8,84.0,613941,267665011.0
1997,UA,194 min,"Drama, Romance",7.8,75.0,1046089,659325379.0
1997,Unknown,103 min,"Crime, Drama, Romance",7.8,79.0,27712,233986.0
1997,UA,106 min,"Drama, Sci-Fi, Thriller",7.8,64.0,280845,12339633.0
1997,UA,129 min,"Action, Drama, Mystery",7.8,61.0,345096,48323648.0
1996,R,159 min,Drama,7.8,76.0,62428,4040691.0
1994,U,127 min,"Biography, Comedy, Drama",7.8,70.0,164937,5887457.0
1993,U,118 min,Drama,7.8,73.0,215034,9170214.0
1993,R,130 min,"Action, Biography, Drama",7.8,50.0,126871,56505065.0
1993,U,101 min,"Comedy, Drama, Family",7.8,55.0,78963,32416586.0
1993,U,134 min,"Drama, Romance",7.8,84.0,66065,22954968.0
1993,Unknown,132 min,"Comedy, Drama",7.8,84.0,34635,1769305.0
1993,U,130 min,"Action, Crime, Drama",7.8,87.0,267684,183875760.0
1993,R,121 min,"Crime, Drama, Romance",7.8,80.0,128171,17266971.0
1993,PG,76 min,"Animation, Action, Crime",7.8,79.0,43690,5617391.0
